Tanggal,Lintang,Bujur,Magnitudo,Kedalaman (km),Lokasi,Keterangan,Sumber
2022-01-01 07:57:00,-7.91671723692682,112.306117230535,3.47,11,"Gunung Kelud, Kediri",1 kali gempa Vulkanik Dangkal,VolcanoDiscovery
2022-01-03 12:48:00,-7.86812896360671,112.369014268496,3.59,14,"Gunung Kelud, Kediri","3 kali gempa Guguran
1 kali gempa Tremor Non-Harmonik
4 kali gempa Hembusan",VolcanoDiscovery
2022-01-03 13:56:00,-8.14155183113767,114.065186048978,2.64,49,"Gunung Raung, Banyuwangi","5 kali gempa Guguran
5 kali gempa Vulkanik Dalam
3 kali gempa Low Frequency
3 kali gempa Letusan/Erupsi
1 kali gempa Tektonik Lokal",VolcanoDiscovery
2022-01-03 19:35:00,-8.13370142152768,114.058157422113,2.18,11,"Gunung Raung, Banyuwangi",5 kali gempa Low Frequency,VolcanoDiscovery
2022-01-04 13:41:00,-7.91004777649259,112.310988665706,5.31,25,"Gunung Kelud, Kediri","3 kali gempa Vulkanik Dalam
1 kali gempa Low Frequency
3 kali gempa Tektonik Lokal
3 kali gempa Low
5 kali gempa Guguran",VolcanoDiscovery
2022-01-06 21:43:00,-7.95172715508935,112.936349482421,3.07,12,"Gunung Bromo, Probolinggo",1 kali gempa Vulkanik Dalam,VolcanoDiscovery
2022-01-07 07:34:00,-8.12147034680821,114.022291450024,3.64,5,"Gunung Raung, Banyuwangi",3 kali gempa Vulkanik Dangkal,VolcanoDiscovery
2022-01-12 02:21:00,-7.95003105558199,112.951279453936,2.56,38,"Gunung Bromo, Probolinggo","5 kali gempa Tektonik Lokal
5 kali gempa Low Frequency
3 kali gempa Vulkanik Dalam
1 kali gempa Low",VolcanoDiscovery
2022-01-12 09:01:00,-8.05900736230159,113.997373075901,2.86,2,"Gunung Raung, Banyuwangi","2 kali gempa Vulkanik Dalam
3 kali gempa Hembusan
4 kali gempa Guguran
2 kali gempa Tektonik Lokal
5 kali gempa Letusan/Erupsi",VolcanoDiscovery
2022-01-14 00:42:00,-8.11648770288618,114.053251378076,2.61,7,"Gunung Raung, Banyuwangi",3 kali gempa Low Frequency,VolcanoDiscovery
2022-01-14 10:05:00,-7.91002249422568,112.299197574306,2.96,10,"Gunung Kelud, Kediri",3 kali gempa Vulkanik Dalam,VolcanoDiscovery
2022-01-14 12:19:00,-8.10008611892237,112.938249673005,3.22,8,"Gunung Semeru, Lumajang",4 kali gempa Tremor Non-Harmonik,VolcanoDiscovery
2022-01-14 20:50:00,-7.94212865402597,112.974833444609,4.73,69,"Gunung Bromo, Probolinggo","2 kali gempa Tremor Non-Harmonik
5 kali gempa Low
1 kali gempa Tektonik Lokal
5 kali gempa Low Frequency",VolcanoDiscovery
2022-01-15 04:26:00,-8.14116103368778,112.961589215748,5.41,25,"Gunung Semeru, Lumajang","3 kali gempa Guguran
4 kali gempa Letusan/Erupsi
4 kali gempa Low Frequency
4 kali gempa Hembusan
4 kali gempa Tektonik Jauh",VolcanoDiscovery
2022-01-15 06:38:00,-8.08677036498895,114.258957541448,4.31,68,"Gunung Ijen, Banyuwangi","5 kali gempa Tektonik Jauh
1 kali gempa Vulkanik Dalam
4 kali gempa Letusan/Erupsi
2 kali gempa Low Frequency",VolcanoDiscovery
2022-01-15 08:30:00,-7.89190109057982,112.248033625235,4.04,2,"Gunung Kelud, Kediri","1 kali gempa Hembusan
3 kali gempa Guguran
5 kali gempa Tektonik Jauh
5 kali gempa Low
2 kali gempa Tremor Non-Harmonik",VolcanoDiscovery
