gen,nevals,avg,std,min,max
0,80,46353376.34848839,72105.54203326728,46207738.1726139,46549511.14896963
1,69,46308605.01617256,61970.35306572584,46187436.004557356,46490208.37540512
2,65,46274962.94989477,51751.38267906793,46160886.28589146,46418949.25262051
3,71,46270271.5834402,62171.62082459222,46120477.82017909,46509175.035539754
4,68,46260376.11751592,64684.55803227717,46120477.82017909,46489275.08882272
5,66,46239891.713904195,54792.12088805373,46149382.63148497,46399394.12393447
6,64,46237099.73644861,72525.84186170547,46120497.95319432,46440831.79568529
7,72,46214343.23555745,66980.65669355294,46060744.630876064,46406849.37876103
8,66,46199435.175260924,66641.71563039064,46060744.630876064,46388269.15293672
9,73,46183071.79701797,74254.94703843642,46038422.91991624,46411430.47374278
10,68,46156056.098068364,64852.48303978399,46059438.00048803,46359970.475643866
11,68,46145816.88974915,65818.7960671101,46007463.25865441,46369805.28813136
12,62,46150317.534709536,73782.51267343634,45998228.01652572,46361372.458641484
13,64,46140995.30774857,71544.4548537899,46009572.61755973,46338239.86461018
14,68,46136150.201519854,70997.25713543747,46028402.139215395,46359106.9247724
15,70,46123984.88864044,70282.70069246701,46008758.52895873,46337746.80274028
16,69,46111239.631986,76352.6828575421,45978729.18382901,46301635.506440505
17,69,46096349.654360674,81721.24663118098,45978332.43423573,46381071.087233104
18,68,46081565.23411993,83452.48412800355,45978332.43423573,46321468.3478007
19,61,46069722.30436243,77095.02267976475,45970301.54902356,46327736.02213706
20,60,46062041.847314395,85590.80879216861,45961505.484253265,46316924.71719899
21,62,46050395.221937105,91971.20572292728,45948784.82567722,46422327.71382007
22,69,46045117.76157206,92890.61996093091,45911583.47140383,46319181.09722745
23,66,46025667.10946109,80466.75031728134,45911583.47140383,46258206.139960006
24,74,46034231.44672686,96818.16218971326,45881325.74578832,46320820.4619809
25,66,46019379.958748296,100948.03724371016,45881110.516013086,46337941.44798609
26,66,46033037.87610687,121930.51199346043,45881110.516013086,46308114.71446192
27,68,45988554.78214818,95228.6896983124,45871108.843296126,46271789.392124824
28,75,45972171.578536116,109197.76059481244,45849990.90463538,46299953.50420416
29,65,45957966.400668815,94985.77137776591,45859144.939066656,46248066.561219655
30,73,45930175.21236436,90334.90500322652,45831871.605789535,46270680.74839279
31,62,45933007.87842752,94258.5280486461,45848363.39452068,46252042.28373887
32,68,45932412.418043375,93729.56427279454,45848596.03515987,46229795.41345256
33,65,45933772.78596671,109305.54370473721,45821964.75743915,46307794.65823646
34,64,45922404.24031766,94597.29926827492,45830849.37359586,46209813.61483228
35,60,45916038.304315045,103789.6556600795,45817434.73848742,46240897.835982166
36,65,45948095.17527505,137946.13121184948,45788499.79708328,46280646.38100772
37,68,45916187.849098906,121748.65533396075,45788113.420879394,46189354.59889646
38,74,45879830.80337236,108206.84025390094,45747251.08823689,46222052.707026415
39,63,45896994.163077965,132894.82487424865,45747251.08823689,46239337.73207034
40,73,45874613.666815184,129256.85108437107,45747251.08823689,46299065.31061833
41,67,45854684.337678716,125424.84528366647,45747000.137957305,46238095.935214154
42,62,45866552.67603524,142605.35164864865,45747255.04714519,46241160.80313748
43,69,45866800.665905595,144394.8234584463,45707289.46631783,46186836.50059515
44,70,45822316.718971945,107702.20134340058,45716966.686779685,46192112.55658017
45,67,45810045.9272758,120247.76174584316,45677591.22459654,46221392.83113564
46,70,45818286.382653534,138423.76695219526,45676957.82069575,46250100.67289152
47,72,45819953.31942234,140834.79046065084,45687856.47216185,46181391.114638515
48,70,45819840.33803087,149071.37055492227,45678469.83271877,46238132.04550069
49,66,45782830.30354644,138482.8623472255,45668716.14219179,46199542.1926943
50,72,45791573.227735385,157985.01981121823,45658077.06470467,46176782.506764844
51,67,45768690.644863084,137232.02233634054,45658976.19000769,46129207.6078984
52,71,45782862.705111325,156731.47098484598,45657619.36049256,46219662.59786198
53,65,45750201.84898857,129040.38080391064,45648301.08707578,46206479.52146003
54,69,45771525.00135623,154303.86350765335,45638089.74357168,46168320.26973968
55,70,45780856.331479445,170344.59436776827,45629126.51977528,46239751.171004735
56,60,45732379.65086943,129204.75837251774,45628897.499446176,46239806.4879758
57,71,45728611.60960816,139246.7613184483,45618669.88476868,46164478.77590343
58,64,45746062.722847104,161337.86891684536,45618669.88476868,46189027.43059573
59,69,45733353.76693149,154407.47379999736,45598237.431089565,46169365.84756896
60,68,45743093.248581685,155734.69289475604,45598237.431089565,46127974.73076036
61,70,45720019.227922015,153030.4736325857,45597992.658264555,46142598.46323413
62,65,45699996.42472866,142703.67689211055,45597992.658264555,46116826.83972988
63,64,45707938.916956045,154984.39844574907,45597411.29337188,46158016.723452054
64,64,45714825.531992,169765.8982906074,45578179.337074384,46208362.15662038
65,61,45713343.28219311,181234.12202684558,45577617.64547367,46170268.29022972
66,68,45724971.135402605,177598.74437975188,45577581.890784025,46199881.66844799
67,63,45715131.14704134,189155.80214217835,45558212.02026048,46219832.34035399
68,67,45707093.12537632,183213.79072310735,45557989.18850313,46148480.15320085
69,72,45700157.86219692,181949.62589706812,45557989.18850313,46158793.192672595
70,64,45677232.94704048,178319.27414674137,45547400.69502459,46198192.89503548
71,74,45696253.93374964,199458.44119891114,45517545.167910844,46157465.37721231
72,71,45680350.417324044,205739.9484390612,45527107.152402595,46199327.806847565
73,71,45664250.16734039,181593.73151051626,45508031.51185985,46148574.97360989
74,69,45652207.080816254,186869.5066241979,45487141.07112731,46148844.812204204
75,62,45638787.508840546,173560.5467232801,45478557.22793197,46117833.94603353
76,68,45639433.36690979,191546.98993451736,45487141.07112731,46171561.40886665
77,64,45612483.77789583,181670.84828439812,45487141.07112731,46066612.3288959
78,66,45625479.60200013,196850.73919885018,45467516.263214394,46150507.74608222
79,68,45591354.32015722,182180.18752031532,45468140.5076355,46069135.65364102
80,62,45550537.0672296,149454.96729362218,45447370.100659914,46137334.548740454
81,57,45599617.214179836,206604.27923202715,45457408.632872984,46060462.180429846
82,68,45625991.083934605,223011.43998887137,45447696.43764992,46068302.58329345
83,59,45571915.635266125,183893.08857931194,45447696.43764992,46117156.663817056
84,69,45599742.58945255,216662.31808205383,45447313.73947084,46126963.99426507
85,71,45574019.49882256,186574.9924359077,45447065.90257474,46060050.071998924
86,70,45612214.90341014,233536.0409061119,45436541.19140357,46155237.18438752
87,67,45640834.77518736,244448.2055507771,45426404.67052065,46208924.42952654
88,62,45570811.61623166,203940.44463704486,45416836.25830256,46139140.96863742
89,66,45561165.791102566,207225.88065595366,45416542.12322398,46137204.62661767
90,65,45555230.15787298,207248.10437390202,45406317.55961966,46097765.495579764
91,71,45575366.07248099,228796.77858027254,45406317.55961966,46069311.25187687
92,69,45578427.439878285,226496.59480305435,45396038.401084594,46048551.59032149
93,68,45563410.53918786,219551.79530698515,45386222.35006627,46094892.76295697
94,71,45533963.31097992,200147.0550647626,45376942.04756251,46039311.6828116
95,58,45486829.4128073,166651.61063279805,45366937.56133836,46057269.226701334
96,64,45539195.208721615,230812.4031238971,45366958.53829478,46085626.94772548
97,65,45532524.9679404,226307.03476897656,45366958.53829478,46097623.976083465
98,63,45474889.226580285,185304.45728499623,45366958.53829478,46009786.8580581
99,66,45458934.51649018,169738.20076760967,45366752.62548072,46009481.24949402
100,66,45476712.4519181,191619.13248629653,45366752.62548072,46059192.65156261
101,74,45453924.08308379,166453.06921884444,45366135.34875244,46066670.47201255
102,71,45503160.094608046,226761.89775686685,45356582.690479256,46089255.0598475
103,71,45517891.686531745,233708.48515777956,45356582.690479256,46059514.29773504
104,61,45481165.14472585,200567.1950798164,45356582.690479256,46020197.577237174
105,69,45522427.71848182,242978.10898860134,45356521.08813089,46109999.2695092
106,70,45460527.51740028,182010.41953326965,45356412.72196506,46078693.4353065
107,68,45484005.48835385,217102.36514673603,45356412.72196506,46036489.50255976
108,69,45475363.4712528,213624.34913358488,45347057.96175275,46039354.690393634
109,68,45460073.123198465,196937.40902315208,45336502.10016923,46008529.267883845
110,65,45502091.714959495,249486.46221165542,45336696.915350206,46110037.84506586
111,62,45440927.13010776,194469.9115477763,45318186.11476358,46096663.23367261
112,78,45461898.852904215,224538.53376972672,45308011.90253689,46017359.20133278
113,70,45494887.82737367,248779.81106724017,45317350.56599361,46139365.47253499
114,74,45509302.98402873,247837.57564084994,45316815.34346599,46068961.43989931
115,57,45438798.96045172,198070.84616779166,45316610.01886142,46008912.017226174
116,63,45462283.92356963,238537.50937717923,45306458.3418278,46146155.87467591
117,66,45451135.58612491,220090.84620628526,45306458.3418278,46078128.777451396
118,62,45442110.036470376,218233.39741025565,45306458.3418278,45995692.868814215
119,66,45459571.18468605,233653.56642366888,45306540.83483463,45997570.651074484
120,67,45408488.648858085,186648.75759216992,45296618.51284756,46019268.93574606
